Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part Number
2u2,Capacitor SMD 0603 16V,"C1, C2, C10, C12",CAP_0603,CAP_0603_16V,4,
22u,Capacitor SMD 0805 16V,"C3, C4",CAP_0805,CAP_0805_16V,2,C23690
100n,Capacitor SMD 0402 16V,"C5, C6, C7, C8, C9, C11, C14, C15",CAP_0402,CAP_0402_16V,8,C23691
10n,Capacitor SMD 0402 16V,C13,CAP_0402,CAP_0402_16V,1,C23692
2n2,Capacitor SMD 0402 16V,C16,CAP_0402,CAP_0402_16V,1,C23693
10p,Capacitor SMD 0402 16V,"C17, C18",CAP_0402,CAP_0402_16V,2,C23694
GREEN,LED 0402 GREEN SMD,D1,LED_0402_GREEN,LED_0402_GREEN,1,C23695
RED,LED 0402 RED SMD,D2,LED_0402_RED,LED_0402_RED,1,C23696
120R,Ferrite Bead SMD 0603,FB1,FB_0603,FB_0603,1,C23697
47346-0001,"USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle",J1,MOLEX_47346-0001,47346-0001,1,C23698
1k,Resistor SMD 0402,"R1, R6",RES_0402,RES_0402,2,C23700
10k,Resistor SMD 0402,"R2, R3",RES_0402,RES_0402,2,C23701
2k2,Resistor SMD 0402,"R4, R5",RES_0402,RES_0402,2,C23702
0R,Resistor SMD 0402,R7,RES_0402,RES_0402,1,C23703
AMS1117,1A LOW DROPOUT VOLTAGE REGULATOR SOT-223,U1,SOT229P700X180-4N,AMS1117,1,C23704
STM32F411CEU6,"High-performance access line, ARM Cortex-M4 core with DSP and FPU, 512 Kbytes Flash, 100 MHz CPU, ART Accelerator",U2,QFN50P700X700X60-49N,STM32F411CEU6,1,C23705
MPU-6050,"MPU-6050 series Accelerometer, Gyroscope, 3 Axis Sensor Evaluation Board",U3,QFN50P400X400X95-24N,MPU-6050,1,C23706
24MHz,Crystal SMD 24MHz 10PPM 7pF 3225,X1,XTAL_3225,TSX-3225_24.0000MF15X-AC,1,C23707
